127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000559
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000580
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000619
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000613
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000671
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/lib/util/search.js, HTTP/1.1, 200, 0.000698
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/lib/util/searchcursor.js, HTTP/1.1, 200, 0.000667
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/lib/util/dialog.js, HTTP/1.1, 200, 0.000683
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/lib/util/dialog.css, HTTP/1.1, 200, 0.000706
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000719
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.000568
127.0.0.1, 2013-06-09 00:57:43, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000578
127.0.0.1, 2013-06-09 00:57:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000415
127.0.0.1, 2013-06-09 00:57:43, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.165938
127.0.0.1, 2013-06-09 01:00:04, POST, /admin/default/edit/test/controllers/default.py, HTTP/1.1, 200, 0.076943
127.0.0.1, 2013-06-09 01:00:05, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.014003
127.0.0.1, 2013-06-09 01:00:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000441
127.0.0.1, 2013-06-09 01:00:29, GET, /admin/default/index, HTTP/1.1, 303, 0.008582
127.0.0.1, 2013-06-09 01:00:29, GET, /admin/default/site, HTTP/1.1, 200, 0.066887
127.0.0.1, 2013-06-09 01:00:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000394
127.0.0.1, 2013-06-09 01:00:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000399
127.0.0.1, 2013-06-09 01:00:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000428
127.0.0.1, 2013-06-09 01:00:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000420
127.0.0.1, 2013-06-09 01:00:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000400
127.0.0.1, 2013-06-09 01:00:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000428
127.0.0.1, 2013-06-09 01:00:48, GET, /admin/default/uninstall/test, HTTP/1.1, 200, 0.052550
127.0.0.1, 2013-06-09 01:00:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000407
127.0.0.1, 2013-06-09 01:00:50, POST, /admin/default/uninstall/test, HTTP/1.1, 303, 0.148528
127.0.0.1, 2013-06-09 01:00:50, GET, /admin/default/site, HTTP/1.1, 200, 0.065495
127.0.0.1, 2013-06-09 01:00:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000392
127.0.0.1, 2013-06-09 01:00:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000365
127.0.0.1, 2013-06-09 01:00:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000421
127.0.0.1, 2013-06-09 01:00:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000435
127.0.0.1, 2013-06-09 01:00:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000400
127.0.0.1, 2013-06-09 01:00:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000379
127.0.0.1, 2013-06-09 01:01:06, POST, /admin/default/site, HTTP/1.1, 303, 0.087548
127.0.0.1, 2013-06-09 01:01:06, GET, /admin/default/design/mayur_I, HTTP/1.1, 200, 0.199725
127.0.0.1, 2013-06-09 01:01:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000581
127.0.0.1, 2013-06-09 01:01:20, GET, /admin/default/index, HTTP/1.1, 303, 0.006376
127.0.0.1, 2013-06-09 01:01:20, GET, /admin/default/site, HTTP/1.1, 200, 0.063871
127.0.0.1, 2013-06-09 01:01:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000436
127.0.0.1, 2013-06-09 01:01:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000379
127.0.0.1, 2013-06-09 01:01:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000416
127.0.0.1, 2013-06-09 01:01:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000466
127.0.0.1, 2013-06-09 01:01:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000400
127.0.0.1, 2013-06-09 01:01:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000370
127.0.0.1, 2013-06-09 01:01:26, GET, /admin/default/uninstall/mayur_I, HTTP/1.1, 200, 0.047213
127.0.0.1, 2013-06-09 01:01:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000426
127.0.0.1, 2013-06-09 01:01:32, POST, /admin/default/uninstall/mayur_I, HTTP/1.1, 303, 0.155084
127.0.0.1, 2013-06-09 01:01:32, GET, /admin/default/site, HTTP/1.1, 200, 0.063791
127.0.0.1, 2013-06-09 01:01:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000425
127.0.0.1, 2013-06-09 01:01:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000425
127.0.0.1, 2013-06-09 01:01:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000439
127.0.0.1, 2013-06-09 01:01:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000382
127.0.0.1, 2013-06-09 01:01:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000383
127.0.0.1, 2013-06-09 01:01:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000387
127.0.0.1, 2013-06-09 01:02:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.611566
127.0.0.1, 2013-06-09 01:02:16, GET, /admin/default/site, HTTP/1.1, 200, 0.145392
127.0.0.1, 2013-06-09 01:02:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000996
127.0.0.1, 2013-06-09 01:02:16, GET, /favicon.ico, HTTP/1.1, 400, 0.001011
127.0.0.1, 2013-06-09 01:02:16, GET, /favicon.ico, HTTP/1.1, 400, 0.001117
127.0.0.1, 2013-06-09 01:02:16, GET, /favicon.ico, HTTP/1.1, 400, 0.001016
127.0.0.1, 2013-06-09 01:02:16, GET, /favicon.ico, HTTP/1.1, 400, 0.001008
127.0.0.1, 2013-06-09 01:02:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000920
127.0.0.1, 2013-06-09 01:02:24, GET, /admin/default/design/examples, HTTP/1.1, 200, 2.040474
127.0.0.1, 2013-06-09 01:02:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000942
127.0.0.1, 2013-06-09 01:02:32, GET, /admin/default/peek/examples/models/session.py, HTTP/1.1, 200, 0.046435
127.0.0.1, 2013-06-09 01:02:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000394
127.0.0.1, 2013-06-09 01:02:36, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.496491
127.0.0.1, 2013-06-09 01:02:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000564
127.0.0.1, 2013-06-09 01:02:42, GET, /admin/default/peek/examples/models/menu.py, HTTP/1.1, 200, 0.053188
127.0.0.1, 2013-06-09 01:02:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000457
127.0.0.1, 2013-06-09 01:02:56, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.523892
127.0.0.1, 2013-06-09 01:02:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000573
127.0.0.1, 2013-06-09 01:03:09, GET, /admin/default/peek/examples/views/default/what.html, HTTP/1.1, 200, 0.059727
127.0.0.1, 2013-06-09 01:03:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000388
127.0.0.1, 2013-06-09 01:03:14, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.499112
127.0.0.1, 2013-06-09 01:03:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000417
127.0.0.1, 2013-06-09 01:03:18, GET, /admin/default/peek/examples/views/database_examples/register_person.html, HTTP/1.1, 200, 0.047178
127.0.0.1, 2013-06-09 01:03:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000369
127.0.0.1, 2013-06-09 01:03:24, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.501346
127.0.0.1, 2013-06-09 01:03:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000415
127.0.0.1, 2013-06-09 01:03:28, GET, /admin/default/index, HTTP/1.1, 303, 0.006423
127.0.0.1, 2013-06-09 01:03:28, GET, /admin/default/site, HTTP/1.1, 200, 0.062779
127.0.0.1, 2013-06-09 01:03:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000408
127.0.0.1, 2013-06-09 01:03:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000633
127.0.0.1, 2013-06-09 01:03:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000419
127.0.0.1, 2013-06-09 01:03:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000418
127.0.0.1, 2013-06-09 01:03:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000408
172.16.134.104, 2013-06-09 09:38:22, GET, /, HTTP/1.1, 303, 0.007381
172.16.134.104, 2013-06-09 09:38:22, GET, /welcome/default/index, HTTP/1.1, 200, 0.456365
172.16.134.104, 2013-06-09 09:38:23, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000661
172.16.134.104, 2013-06-09 09:38:23, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000848
172.16.134.104, 2013-06-09 09:38:23, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002534
172.16.134.104, 2013-06-09 09:38:23, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.006530
172.16.134.104, 2013-06-09 09:38:23, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001077
172.16.134.104, 2013-06-09 09:38:23, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001622
172.16.134.104, 2013-06-09 09:38:23, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.002514
172.16.134.104, 2013-06-09 09:38:23, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000753
172.16.134.104, 2013-06-09 09:38:23, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000567
172.16.134.104, 2013-06-09 09:38:23, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.007903
172.16.134.104, 2013-06-09 09:38:23, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.019100
172.16.134.104, 2013-06-09 09:38:23, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.020209
172.16.134.104, 2013-06-09 09:38:24, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001188
172.16.134.104, 2013-06-09 09:38:24, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000404
172.16.134.104, 2013-06-09 09:38:24, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002295
172.16.134.104, 2013-06-09 09:38:24, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001602
172.16.134.104, 2013-06-09 09:38:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.078472
172.16.134.104, 2013-06-09 09:38:47, GET, /admin, HTTP/1.1, 200, 0.141128
172.16.134.104, 2013-06-09 09:38:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000438
172.16.134.104, 2013-06-09 09:39:02, GET, /admin/default/site, HTTP/1.1, 200, 0.008633
172.16.134.104, 2013-06-09 09:39:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000387
172.16.134.104, 2013-06-09 09:39:05, GET, /welcome/default/index, HTTP/1.1, 200, 0.041761
172.16.134.104, 2013-06-09 14:50:47, GET, /welcome/default/index, HTTP/1.1, 200, 0.033542
172.16.134.104, 2013-06-09 14:50:52, GET, /admin, HTTP/1.1, 200, 0.007706
172.16.134.104, 2013-06-09 14:50:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000842
172.16.134.104, 2013-06-09 15:19:58, GET, /, HTTP/1.1, 303, 0.008980
172.16.134.104, 2013-06-09 15:19:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.132199
172.16.134.104, 2013-06-09 15:19:58, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002472
172.16.134.104, 2013-06-09 15:19:58, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000685
172.16.134.104, 2013-06-09 15:19:58, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002385
172.16.134.104, 2013-06-09 15:19:58, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.004648
172.16.134.104, 2013-06-09 15:19:58, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001162
172.16.134.104, 2013-06-09 15:19:58, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000406
172.16.134.104, 2013-06-09 15:19:58, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000939
172.16.134.104, 2013-06-09 15:19:58, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000629
172.16.134.104, 2013-06-09 15:19:58, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.006333
172.16.134.104, 2013-06-09 15:19:58, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000737
172.16.134.104, 2013-06-09 15:19:58, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000734
172.16.134.104, 2013-06-09 15:19:58, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000665
172.16.134.104, 2013-06-09 15:19:59, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000900
172.16.134.104, 2013-06-09 15:19:59, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001258
172.16.134.104, 2013-06-09 15:19:59, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000511
172.16.134.104, 2013-06-09 15:19:59, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000821
172.16.134.104, 2013-06-09 15:20:02, GET, /admin, HTTP/1.1, 200, 0.174029
172.16.134.104, 2013-06-09 15:20:02, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.002466
172.16.134.104, 2013-06-09 15:20:02, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.001538
172.16.134.104, 2013-06-09 15:20:02, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.016719
172.16.134.104, 2013-06-09 15:20:02, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.004896
172.16.134.104, 2013-06-09 15:20:02, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.001305
172.16.134.104, 2013-06-09 15:20:03, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.009813
172.16.134.104, 2013-06-09 15:20:03, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.014673
172.16.134.104, 2013-06-09 15:20:03, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.005786
172.16.134.104, 2013-06-09 15:20:03, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.017868
172.16.134.104, 2013-06-09 15:20:03, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001370
172.16.134.104, 2013-06-09 15:20:03, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.013009
172.16.134.104, 2013-06-09 15:20:03, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000504
172.16.134.104, 2013-06-09 15:20:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000436
172.16.134.104, 2013-06-09 15:20:06, POST, /admin/default/index, HTTP/1.1, 303, 0.114989
172.16.134.104, 2013-06-09 15:20:06, GET, /admin/default/site, HTTP/1.1, 200, 0.080938
172.16.134.104, 2013-06-09 15:20:06, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.001095
172.16.134.104, 2013-06-09 15:20:06, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.001465
